review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20260125-378532,CUST-10250,REST-AUH-002,Absolutely amazing Masala Chai  Garlic Naan  Gajar Halwa  and Tandoori Roti! The Tandoori Roti was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-26T12:15:51.393118
REV-000003,ORD-20260129-811077,CUST-10036,REST-DXB-002,Incredible meal! Samosa (2 pcs)  Naan  Paneer Tikka  Dal Makhani  and Tandoori Roti arrived hot and fresh. The Samosa (2 pcs) was absolutely divine. Highly satisfied!,5,2026-01-30T11:24:04.393118
REV-000002,ORD-20260128-491532,CUST-10395,REST-AUH-001,Solid experience. Jeera Rice were well-prepared. Jeera Rice had great flavor. Minor issues with packaging.,4,2026-01-31T18:29:21.393118
REV-000004,ORD-20260129-392977,CUST-10358,REST-AUH-001,Wow! Just wow! Malai Kofta  Garlic Naan  Samosa (2 pcs)  Aloo Tikki Chaat  and Chicken Biryani were all fantastic. Malai Kofta was particularly memorable. Can't wait to order again!,5,2026-02-03T16:06:30.393118
REV-000006,ORD-20260204-856133,CUST-10459,REST-AUH-002,Incredible meal! Naan and Malai Kofta arrived hot and fresh. The Naan was absolutely divine. Highly satisfied!,5,2026-02-05T14:54:26.393118
REV-000008,ORD-20260205-589115,CUST-10312,REST-AUH-001,Enjoyed the Mango Lassi  Chole Bhature  and Malai Kofta! Malai Kofta was very good. Portion sizes were generous. Recommend!,4,2026-02-07T13:31:49.393118
REV-000010,ORD-20260206-690392,CUST-10411,REST-DXB-001,It was okay. Gulab Jamun (2 pcs)  Fish Curry  Masala Chai  Palak Paneer  and Rasmalai (2 pcs) arrived lukewarm. Masala Chai tasted fine but could be better.,3,2026-02-07T22:02:51.393118
REV-000005,ORD-20260131-686336,CUST-10476,REST-AUH-001,Perfect in every way! Fresh Lime Soda  Palak Paneer  Butter Naan  Lamb Rogan Josh  and Chicken Tikka Masala were all excellent. Butter Naan stood out with its rich  authentic taste.,5,2026-02-07T22:56:49.393118
REV-000007,ORD-20260205-161073,CUST-10300,REST-AUH-001,Average experience. Rasmalai (2 pcs)  Lamb Rogan Josh  and Chicken Biryani were fine but Lamb Rogan Josh was a bit bland. Room for improvement.,3,2026-02-10T13:23:59.393118
REV-000009,ORD-20260205-876293,CUST-10016,REST-DXB-001,Below expectations. Butter Chicken and Gulab Jamun (2 pcs) were underwhelming. Butter Chicken was overcooked and dry.,2,2026-02-12T17:13:54.393118
REV-000011,ORD-20260208-655908,CUST-10333,REST-DXB-001,Good quality food. Chicken 65  Jeera Rice  Malai Kofta  and Rasmalai (2 pcs) were nicely done. Jeera Rice could have been slightly spicier but still good!,4,2026-02-13T19:31:11.393118
REV-000013,ORD-20260215-242409,CUST-10135,REST-SHJ-001,Incredible meal! Naan and Butter Chicken arrived hot and fresh. The Butter Chicken was absolutely divine. Highly satisfied!,5,2026-02-16T18:23:17.393118
REV-000014,ORD-20260216-460104,CUST-10318,REST-AUH-002,Pleasant meal! Samosa (2 pcs)  Paneer Tikka  Butter Chicken  and Chole Bhature arrived warm. Samosa (2 pcs) was tasty though not exceptional. Would order again.,4,2026-02-17T15:12:19.393118
REV-000012,ORD-20260212-459088,CUST-10239,REST-DXB-001,Really good Paneer Tikka and Chicken Tikka Masala! The Chicken Tikka Masala was delicious. Slight delay in delivery but food quality made up for it.,4,2026-02-17T21:36:06.393118
REV-000015,ORD-20260217-335703,CUST-10054,REST-DXB-001,Average experience. Kulfi were fine but Kulfi was a bit bland. Room for improvement.,3,2026-02-19T18:17:00.393118
REV-000016,ORD-20260218-959452,CUST-10247,REST-DXB-002,Outstanding experience! The Samosa (2 pcs) exceeded all expectations. Samosa (2 pcs) was the star of the meal. Will definitely order again!,5,2026-02-24T19:49:01.393118
REV-000018,ORD-20260221-158351,CUST-10216,REST-DXB-002,Hands down the best Tandoori Roti I've ever had! Tandoori Roti were all prepared beautifully. Fresh and flavorful!,5,2026-02-24T20:28:58.393118
